% time_sec delay_sec
1.19718 0.0966106
1.19718 0.0966106
1.29719 0.0966227
1.3973 0.0967254
1.49668 0.400789
1.49747 0.0969012
1.59726 0.0966902
1.69734 0.0967703
1.7972 0.0966275
1.79915 0.400587
1.89717 0.0966004
1.99795 0.297375
2 0.0980625
2.00223 0.104323
2.00612 0.104186
2.0979 0.191932
2.10997 0.103995
2.11452 0.104512
2.11811 0.104073
2.12503 0.106955
2.1267 0.104591
2.12778 0.105677
2.13016 0.104018
2.13625 0.104059
2.14022 0.104002
2.14433 0.104074
2.14895 0.10466
2.15242 0.104093
2.15678 0.104422
2.16069 0.104302
2.16467 0.104246
2.1648 0.104374
2.16935 0.104894
2.17461 0.106122
2.17891 0.104368
2.18257 0.103992
2.18737 0.104766
2.19077 0.10413
2.19622 0.105543
2.2 0.104114
2.20013 0.104243
2.20077 0.0988315
2.20436 0.104437
2.20821 0.104253
2.21212 0.104131
2.21225 0.104259
2.21603 0.104008
2.22232 0.106263
2.22623 0.104127
2.23014 0.104002
2.23425 0.104077
2.23874 0.104531
2.24246 0.104221
2.24638 0.104102
2.25048 0.104177
2.25478 0.104443
2.25844 0.104067
2.26453 0.106128
2.26864 0.104183
2.27249 0.103995
2.27659 0.10407
2.28089 0.104336
2.28474 0.104152
2.28872 0.104095
2.29333 0.104675
2.29859 0.105897
2.30071 0.0987681
2.30224 0.104339
2.30237 0.104468
2.30647 0.104534
2.3066 0.104662
2.31288 0.106911
2.31333 0.107359
2.31609 0.104068
2.32013 0.104074
2.32026 0.104202
2.32411 0.10402
2.3284 0.10428
2.33225 0.104095
2.33629 0.104105
2.34046 0.104239
2.34431 0.104055
2.34829 0.104001
2.35445 0.104111
2.35862 0.104248
2.3626 0.104192
2.36683 0.104392
2.37062 0.104145
2.3746 0.104088
2.37864 0.104098
2.38255 0.103979
2.38698 0.104373
2.39275 0.106111
2.39589 0.103202
2.4 0.0980621
2.40276 0.106868
2.40648 0.104538
2.4107 0.104733
2.41404 0.104035
2.41814 0.104106
2.42219 0.104115
2.4261 0.103996
2.4311 0.104961
2.43412 0.103943
2.44047 0.106261
2.44425 0.103996
2.44823 0.103943
2.45234 0.104018
2.45651 0.104156
2.46068 0.104293
2.46447 0.104046
2.46845 0.103992
2.473 0.104512
2.47647 0.103945
2.48276 0.1062
2.48699 0.104384
2.49078 0.104133
2.49584 0.105164
2.49988 0.103992
2.50071 0.0987744
2.50417 0.104252
2.50802 0.104067
2.512 0.104011
2.5161 0.104083
2.51623 0.104211
2.52008 0.104026
2.52406 0.103969
2.53021 0.106093
2.53419 0.10402
2.53875 0.104542
2.54234 0.104101
2.54645 0.104173
2.55049 0.104182
2.55447 0.104129
2.55845 0.104072
2.56249 0.104082
2.56659 0.104154
2.5725 0.104006
2.5766 0.104078
2.5809 0.104344
2.58475 0.10416
2.58898 0.104357
2.59302 0.104363
2.59796 0.105268
2.60008 0.09814
2.60219 0.10429
2.60617 0.104234
2.61002 0.104049
