% time_sec delay_sec
1.12101 0.0209891
1.12101 0.0209891
1.22097 0.0209447
1.32099 0.020971
1.41902 0.323016
1.42092 0.0209026
1.52096 0.0209341
1.62111 0.0210922
1.72109 0.0210724
1.7217 0.323013
1.82108 0.021062
1.92079 0.220101
1.92231 0.0222682
1.9246 0.0265727
1.9286 0.0265398
2.02081 0.11472
2.02232 0.0222802
2.02461 0.0265886
2.02926 0.0272027
2.03289 0.0267956
2.03689 0.0267656
2.04092 0.0267606
2.04527 0.0270774
2.04908 0.0268491
2.05294 0.026684
2.05919 0.0268789
2.06332 0.026974
2.06725 0.0268781
2.06738 0.0270065
2.07129 0.0268834
2.0753 0.0268531
2.07947 0.0269908
2.08351 0.0269971
2.08758 0.0270306
2.09117 0.026589
2.09886 0.030253
2.10323 0.0285651
2.10843 0.0297298
2.11349 0.0307633
2.11734 0.0305785
2.12593 0.0351295
2.12874 0.0287028
2.12913 0.0331215
2.1349 0.0348596
2.13888 0.0348033
2.14369 0.0355799
2.1478 0.0356549
2.1546 0.0384231
2.15845 0.0362215
2.16249 0.0362308
2.16685 0.0365596
2.17057 0.0362435
2.17461 0.0362528
2.17891 0.0365159
2.1827 0.0362684
2.18737 0.0369138
2.19064 0.0361498
2.19077 0.0362782
2.20917 0.0365233
2.21308 0.0364013
2.21719 0.0364733
2.2211 0.0363542
2.22533 0.0365546
2.23091 0.0380987
2.23476 0.0367385
2.23899 0.0369359
2.2449 0.0388083
2.24869 0.0365441
2.25254 0.0363622
2.25652 0.0363059
2.26043 0.0361867
2.26428 0.036002
2.26851 0.0362024
2.28038 0.0359705
2.28731 0.0368474
2.29885 0.0362843
2.3025 0.0359054
2.30673 0.0361
2.31077 0.0361063
2.31493 0.0362381
2.3193 0.0365669
2.32558 0.0388215
2.32866 0.0358462
2.33443 0.0384257
2.33847 0.0364152
2.34251 0.0364216
2.35028 0.0361206
2.35811 0.0358824
2.36626 0.0359637
2.37261 0.0382811
2.38069 0.0362829
2.38461 0.0361638
2.38865 0.0361701
2.38878 0.0362985
2.39262 0.0361137
2.39666 0.0361201
2.40474 0.0361328
2.40917 0.0365213
2.41519 0.0385163
2.41917 0.0364426
2.42341 0.036643
2.42873 0.0379332
2.43662 0.0365764
2.44034 0.0362633
2.44425 0.0361442
2.44862 0.0364759
2.45273 0.0365508
2.45664 0.0364317
2.46248 0.0382385
2.46665 0.0363594
2.47057 0.0362403
2.48263 0.0362024
2.48699 0.0365312
2.49475 0.0362215
2.49815 0.0355859
2.50469 0.0360747
2.50873 0.036081
2.51296 0.0362814
2.51726 0.0365475
2.52098 0.0362338
2.52521 0.0364342
2.5306 0.0377871
2.53432 0.0362956
2.53849 0.0364333
2.54247 0.0363769
2.54606 0.0359354
2.55241 0.0382557
2.5605 0.0362575
2.56448 0.0362011
2.57673 0.0363544
2.58065 0.0362353
2.58462 0.0361789
2.60284 0.0362417
2.61085 0.0361917
2.61515 0.0364578
2.6233 0.036539
2.62863 0.0378293
2.63215 0.0321102
2.63241 0.0364005
2.63629 0.0362497
2.64258 0.0385044
2.65009 0.035927
2.65445 0.0362557
2.6744 0.0360424
2.68473 0.0362896
2.68858 0.0361048
2.69281 0.0363023
2.70057 0.0359955
2.7048 0.0361929
2.71308 0.0363997
2.71712 0.0364089
2.72347 0.0367095
2.72643 0.035629
2.73258 0.0377523
2.73656 0.0365205
2.74022 0.0361416
2.74419 0.0360853
2.7483 0.0361602
2.75228 0.0361038
2.76043 0.0361881
2.76435 0.0360689
2.77461 0.0362504
2.7827 0.036269
2.78699 0.0365321
2.79039 0.0358965
2.79417 0.0356461
2.79815 0.0355897
2.80232 0.0357215
2.80276 0.0361694
