% time_sec delay_sec
1.20733 0.107288
1.20733 0.107288
1.30733 0.107291
1.40724 0.107203
1.50754 0.1075
1.50767 0.411642
1.60749 0.107452
1.70751 0.10747
1.80844 0.108401
1.81018 0.411475
1.90749 0.107455
2.00885 0.108812
2.10708 0.406371
2.20821 0.204115
2.21199 0.111932
2.21212 0.116094
2.21616 0.1161
2.22084 0.116751
2.22431 0.116181
2.2313 0.119138
2.23572 0.117515
2.24002 0.117778
2.24477 0.118495
2.24894 0.118633
2.25241 0.118066
2.2569 0.118523
2.26081 0.118404
2.26505 0.118605
2.26864 0.118163
2.27582 0.119297
2.27987 0.119306
2.28397 0.119378
2.28846 0.119835
2.29359 0.120928
2.29859 0.121893
2.30096 0.120233
2.30558 0.120813
2.30929 0.120497
2.31583 0.123003
2.31744 0.117377
2.32 0.121959
2.32693 0.124856
2.33135 0.123227
2.33629 0.124135
2.34117 0.124974
2.34547 0.12524
2.34925 0.124993
2.35304 0.124745
2.35772 0.125397
2.361 0.124635
2.36747 0.127081
2.37184 0.125393
2.37979 0.125283
2.38358 0.125036
2.38749 0.124917
2.39205 0.125437
2.39589 0.125249
2.40013 0.125449
2.40359 0.124877
2.41314 0.124345
2.41943 0.126599
2.42 0.119946
2.42379 0.125749
2.42822 0.126141
2.43206 0.125953
2.43578 0.125643
2.43931 0.125135
2.44374 0.12553
2.44759 0.125348
2.45042 0.124139
2.45792 0.127615
2.4621 0.125736
2.46601 0.125617
2.47031 0.125883
2.47403 0.12557
2.47737 0.124874
2.48103 0.124498
2.48533 0.124764
2.48898 0.124386
2.49379 0.125159
2.49988 0.1252
2.50732 0.124571
2.51161 0.124834
2.51752 0.126704
2.52156 0.121497
2.52168 0.125659
2.52181 0.125788
2.52509 0.125027
2.52983 0.125738
2.53772 0.125562
2.54131 0.125121
2.54722 0.12699
2.55613 0.125825
2.55626 0.125953
2.56024 0.1259
2.56435 0.125972
2.56788 0.125468
2.5716 0.125155
2.57173 0.125283
2.57545 0.12497
2.57885 0.124337
2.58565 0.127105
2.5902 0.125605
2.59405 0.125421
2.59796 0.125299
2.60553 0.124801
2.61323 0.124431
2.61945 0.126623
2.62041 0.120356
2.62343 0.125388
2.62792 0.125846
2.63158 0.125467
2.63738 0.127239
2.64207 0.125873
2.65355 0.125256
2.65759 0.125266
2.66176 0.125403
2.66542 0.125027
2.66921 0.12478
2.67556 0.127097
2.67966 0.125152
2.68409 0.125547
2.68794 0.125362
2.69198 0.125368
2.69608 0.125438
2.69987 0.12519
2.70032 0.125638
2.70391 0.125193
2.70403 0.125322
2.7075 0.124752
2.71135 0.124567
2.71712 0.124291
2.71904 0.118986
2.72046 0.124432
2.72681 0.126752
2.73155 0.125446
2.73592 0.125778
2.74381 0.125599
2.74728 0.125032
2.75151 0.125233
2.75164 0.125361
2.75581 0.125499
2.75889 0.124547
2.76576 0.127381
2.77038 0.125949
2.77384 0.125379
2.77788 0.125389
2.78161 0.125078
2.7852 0.124637
2.79013 0.125539
2.79392 0.125289
2.79738 0.124719
2.79751 0.124847
2.80411 0.127415
2.80796 0.125214
2.81142 0.124644
2.81694 0.126128
2.82127 0.125247
2.82519 0.125128
2.83019 0.126099
2.83769 0.125535
2.84193 0.125735
2.84565 0.125425
2.84899 0.12473
2.85951 0.125168
2.86406 0.125688
2.86811 0.125697
2.87183 0.125381
2.87195 0.125509
2.87548 0.125005
2.87946 0.124949
2.88312 0.124573
2.88722 0.124645
2.88767 0.125093
2.89409 0.127476
2.898 0.125334
2.89812 0.125462
2.90236 0.125663
2.90589 0.125159
2.91006 0.125293
2.9132 0.124401
2.91968 0.12685
2.92366 0.125615
2.92744 0.125367
2.93161 0.125499
2.93533 0.125189
2.93905 0.124876
2.94553 0.127325
2.95009 0.125831
2.954 0.125711
2.95824 0.125912
2.9619 0.125536
2.9653 0.124903
2.96979 0.12536
2.97325 0.124791
2.97338 0.124919
2.97659 0.124095
2.98384 0.127311
2.98807 0.125495
2.99275 0.126143
3 0.125326
3.00444 0.125723
3.00732 0.124577
3.01143 0.124649
3.01698 0.126164
3.02134 0.121281
3.02147 0.125443
3.02519 0.12513
3.02871 0.124622
3.03513 0.127004
3.03981 0.125636
3.04389 0.125676
3.05152 0.125247
3.05589 0.125576
3.06371 0.125338
3.06686 0.124448
3.0779 0.125403
3.08181 0.125284
3.08592 0.125359
3.09009 0.125493
3.09375 0.125118
3.09747 0.124807
3.10196 0.125267
3.1053 0.124572
3.1114 0.126633
3.11319 0.122377
3.11826 0.123413
3.12987 0.12578
3.13391 0.125789
3.13815 0.125989
3.14193 0.125739
3.14552 0.125297
3.14912 0.124858
3.15355 0.125253
3.15669 0.124363
3.16381 0.127451
3.16773 0.125315
3.17215 0.125707
3.17626 0.125782
3.17953 0.125021
3.18306 0.124516
3.18742 0.124845
3.19159 0.124983
3.19576 0.125117
3.20167 0.126987
3.20583 0.125105
3.20987 0.125111
3.21359 0.124798
3.21943 0.126605
3.22017 0.120112
3.2237 0.125658
3.22806 0.125987
3.23191 0.125802
3.23563 0.125492
3.23948 0.125307
3.24372 0.125507
3.2468 0.124555
3.25373 0.127452
3.25803 0.125701
3.26194 0.125582
3.26598 0.125591
3.26983 0.125406
3.2733 0.124837
3.27715 0.124655
3.28094 0.124407
3.28459 0.124031
3.29613 0.125482
3.29998 0.125297
3.3001 0.125426
3.30395 0.125238
3.30697 0.12422
3.3112 0.124418
3.31735 0.12654
3.32127 0.125243
3.32524 0.125186
3.32993 0.125835
3.33371 0.125584
3.33762 0.125462
3.34391 0.127714
3.34753 0.12529
3.35189 0.125618
3.35626 0.125947
3.35985 0.125509
3.36389 0.125514
3.36755 0.125139
3.37159 0.125145
3.3746 0.124127
3.38166 0.127152
3.3859 0.125336
3.39013 0.12553
3.39407 0.125442
3.39753 0.124869
3.40247 0.125774
3.40549 0.124757
3.40985 0.125085
3.41325 0.12445
3.4196 0.12677
3.42018 0.120118
3.42351 0.12547
3.42678 0.124709
3.43358 0.127471
3.43807 0.125908
3.44192 0.125724
3.44615 0.125924
3.4498 0.125545
3.45339 0.125101
3.4575 0.125173
3.46148 0.125116
3.46475 0.124355
3.47148 0.127055
3.47161 0.127183
3.47597 0.125495
3.47976 0.125245
3.48412 0.125577
3.48848 0.125899
3.49149 0.124879
3.49976 0.12508
3.50386 0.125146
3.51374 0.124939
3.51649 0.123664
3.52387 0.127844
3.52791 0.125834
3.5324 0.126288
3.53599 0.125847
3.53977 0.125596
3.54375 0.12554
3.54766 0.125415
3.5549 0.124595
3.56119 0.126849
3.56555 0.125161
3.57005 0.125618
3.57402 0.125562
3.57742 0.124929
3.58089 0.124359
3.58512 0.124557
3.58922 0.124623
3.59313 0.1245
3.59986 0.127197
3.60409 0.125375
3.60723 0.124485
3.61147 0.124686
3.61717 0.126358
3.6173 0.126487
3.62134 0.125315
3.6257 0.12564
3.62987 0.125775
3.63352 0.125396
3.63734 0.125177
3.64138 0.125186
3.64478 0.124551
3.65132 0.127059
3.65587 0.125562
3.65927 0.12493
3.66351 0.12513
3.66697 0.12456
3.67063 0.124184
3.67441 0.123934
3.67832 0.123812
3.68179 0.123245
3.68833 0.125747
3.69256 0.123931
3.69589 0.12323
3.70019 0.123493
3.70358 0.122854
3.70743 0.122666
3.71108 0.122287
3.71724 0.124408
3.71769 0.117627
3.72121 0.12317
3.72461 0.122531
3.72845 0.122341
3.73249 0.122344
3.73781 0.123634
3.74134 0.12111
3.74499 0.120735
3.74903 0.120738
3.7523 0.119974
3.75538 0.119022
3.75917 0.118771
3.76227 0.117847
3.76555 0.117086
3.76568 0.117215
3.77093 0.118439
3.77446 0.115918
3.77805 0.115477
3.7819 0.115292
3.7862 0.115555
3.79023 0.115555
3.79414 0.11543
3.79793 0.11518
3.80171 0.114927
3.80786 0.117047
3.81087 0.110814
3.81139 0.115361
3.81555 0.115496
3.82119 0.117103
3.82132 0.117231
3.826 0.11586
3.83004 0.115863
3.83383 0.115616
3.83742 0.115174
3.84149 0.115212
3.84566 0.115349
3.8497 0.115356
3.85355 0.115171
3.8597 0.117294
3.86368 0.115218
3.86779 0.115293
3.8717 0.115168
3.87529 0.114727
3.87952 0.114927
3.88376 0.115127
3.88799 0.115325
3.89177 0.115075
3.89754 0.116807
3.90202 0.115244
3.90414 0.113325
3.91093 0.110875
3.91119 0.116343
3.91536 0.1153
3.91953 0.115434
3.92427 0.116145
3.9284 0.116245
3.93167 0.115481
3.93553 0.115299
3.93937 0.115115
3.94338 0.115086
3.94912 0.116796
3.95374 0.115365
3.95798 0.115565
3.96233 0.115891
3.96567 0.115192
3.96958 0.11507
3.97356 0.115014
3.9776 0.115023
3.98183 0.115221
3.98843 0.117789
3.9917 0.115008
3.99619 0.11546
4.00016 0.1154
4.00369 0.11489
4.0094 0.116571
4.01011 0.110047
4.01363 0.11559
4.01806 0.115982
4.02158 0.115475
4.02553 0.115383
4.02969 0.115515
4.03334 0.115136
4.03937 0.117131
4.04348 0.115186
