% time_sec delay_sec
1.13719 0.0370948
1.13719 0.0370948
1.23746 0.0373642
1.33714 0.0370399
1.43573 0.339648
1.43721 0.0371125
1.53717 0.0370771
1.63713 0.0370367
1.73712 0.0370295
1.73962 0.340858
1.83743 0.0373379
1.93709 0.23633
1.93849 0.0383717
1.94112 0.0430233
1.94544 0.0433077
2.0374 0.131239
2.03865 0.0385305
2.0413 0.043206
2.04565 0.0435228
2.04959 0.0434229
2.05346 0.0432578
2.05749 0.0432557
2.06127 0.0429997
2.0654 0.0430989
2.06937 0.0430345
2.0695 0.0431629
2.0762 0.0438121
2.08088 0.0444604
2.08434 0.0438904
2.08828 0.0437955
2.09194 0.0434196
2.09662 0.0440679
2.10124 0.0446535
2.10618 0.0455615
2.11131 0.0466606
2.11862 0.0499394
2.12567 0.050933
2.1258 0.0510614
2.129 0.0502317
2.1333 0.0504978
2.13811 0.0512715
2.1442 0.0533321
2.1485 0.0483863
2.14908 0.0529961
2.15331 0.0531994
2.15704 0.0528863
2.16121 0.0530239
2.16506 0.0528392
2.17121 0.0549625
2.17525 0.052955
2.17942 0.0530897
2.18334 0.0529706
2.18776 0.0533592
2.19141 0.0529804
2.19507 0.0525986
2.19866 0.0521541
2.20308 0.0525427
2.20737 0.0528058
2.21436 0.0557593
2.21796 0.0533039
2.22277 0.0540806
2.23053 0.0537737
2.23816 0.0533415
2.24233 0.0534791
2.24715 0.0542588
2.25151 0.0534121
2.25504 0.0529078
2.2612 0.0550341
2.26518 0.0529609
2.26935 0.0530957
2.26947 0.0532241
2.27313 0.0528452
2.27762 0.0533053
2.28115 0.0528011
2.28526 0.0528731
2.28911 0.0526883
2.29359 0.0531396
2.29686 0.0523756
2.30397 0.0534377
2.3075 0.0529305
2.31154 0.0529369
2.31545 0.0528119
2.32 0.0533318
2.3284 0.0536664
2.33212 0.0533532
2.33604 0.0532341
2.34168 0.0548439
2.34444 0.0515525
2.35092 0.0548396
2.35509 0.0529605
2.35888 0.052713
2.36298 0.052785
2.36735 0.0531138
2.371 0.0527379
2.37511 0.0528099
2.37902 0.0526908
2.38307 0.0527001
2.38942 0.0550175
2.39365 0.0532011
2.39756 0.053079
2.40154 0.0530227
2.40551 0.0529633
2.40942 0.0528384
2.41353 0.0529074
2.41802 0.0533641
2.42206 0.0533734
2.42649 0.0537678
2.43219 0.0554374
2.43553 0.0527252
2.44477 0.0538963
2.44926 0.0531781
2.45363 0.0535098
2.45741 0.0532623
2.4612 0.0530148
2.46498 0.0527673
2.46928 0.0530334
2.47313 0.0528486
2.47936 0.0550405
2.48327 0.0529046
2.48808 0.0536813
2.49129 0.0528546
2.49545 0.0529864
2.49892 0.0524165
2.50321 0.0526766
2.50706 0.0524919
2.51136 0.052755
2.5222 0.0535122
2.52663 0.0539067
2.53047 0.053719
2.53368 0.0528923
2.53785 0.0530299
2.54183 0.0529736
2.54657 0.0536875
2.551 0.0529036
2.55517 0.0530413
2.5587 0.052537
2.56275 0.0525463
2.56935 0.0551204
2.57333 0.0530473
2.57782 0.0535044
2.58142 0.0530658
2.58526 0.0528811
2.58924 0.0528217
2.59315 0.0526997
2.59706 0.0525776
2.59719 0.052706
2.6011 0.0525869
2.60758 0.0550327
2.61162 0.0530223
2.61605 0.0534167
2.61997 0.0532976
2.63578 0.0529748
2.64014 0.0533036
2.64495 0.0540832
2.64848 0.048367
2.64874 0.0526573
2.64887 0.0527857
2.65304 0.0529205
2.65888 0.0547272
2.66298 0.0527824
2.66735 0.0531142
2.67107 0.052801
2.67517 0.052873
2.67902 0.0526882
2.68294 0.0525691
2.6873 0.0528979
2.69115 0.0527131
2.69711 0.0546424
2.70173 0.0532112
2.7057 0.0531519
2.70949 0.0529015
2.71385 0.0532302
2.71834 0.0536874
2.72225 0.0535683
2.72668 0.0539628
2.73091 0.0541602
2.73438 0.0535932
2.74009 0.0532519
2.74246 0.0515921
2.74882 0.0539124
2.75279 0.0526776
2.75709 0.0529437
2.7612 0.0530186
2.76537 0.0531563
2.7732 0.0529151
2.77718 0.0528617
2.78084 0.0524858
2.78738 0.0549943
2.79129 0.0528555
2.79507 0.052605
2.79924 0.0527398
2.80302 0.0524864
2.80725 0.0526868
2.81129 0.0526932
2.81591 0.0532787
2.8197 0.0530312
2.82634 0.0556394
2.83019 0.0534379
2.83378 0.0529934
2.83757 0.0527459
2.84154 0.0526895
2.84694 0.0540483
2.85111 0.0530076
2.85508 0.0529513
2.85874 0.0525754
2.8631 0.0529042
2.8665 0.0522715
2.8708 0.0525346
2.87721 0.0549147
2.88126 0.0529072
2.88543 0.0530449
2.8894 0.0529856
2.89345 0.0529949
2.89703 0.0525504
2.90088 0.0523656
2.91564 0.0550181
2.92006 0.0533958
2.92468 0.0539813
2.93212 0.0533521
2.93584 0.0530419
2.94021 0.0533706
2.94515 0.0542787
2.94919 0.0531096
2.95298 0.0528621
2.95657 0.0524205
2.961 0.052815
2.96709 0.0548785
2.97107 0.0528053
2.97531 0.0530057
2.97903 0.0526926
2.98333 0.0529586
2.98717 0.0527739
2.9873 0.0529023
2.99128 0.0528459
2.99494 0.05247
2.99904 0.052542
3.00957 0.0529829
3.01393 0.0533116
3.018 0.053352
3.02211 0.053424
3.0266 0.0538812
3.03051 0.0537592
3.0341 0.0533166
3.03834 0.053517
3.04228 0.053429
3.04658 0.0516783
3.05088 0.0527827
3.05678 0.0546522
3.06096 0.0527731
3.06513 0.0529108
3.06936 0.0531112
3.07315 0.0528637
3.077 0.0526818
3.08091 0.0525627
3.08515 0.0527661
3.08913 0.0527097
3.09529 0.0548359
3.0994 0.0528941
3.10389 0.0533542
3.10787 0.0533008
3.11197 0.0533698
3.11563 0.0529939
3.11942 0.0527464
3.12391 0.0532036
3.12846 0.0537235
3.13776 0.0529436
3.14694 0.0540485
3.15098 0.0528794
3.15509 0.0529544
3.15874 0.0525785
3.16304 0.0528416
3.16708 0.0528509
3.17074 0.052475
3.17485 0.052547
3.17915 0.0528131
3.18524 0.0548766
3.18941 0.0529946
3.19756 0.0530758
3.20154 0.0530195
3.20936 0.0527754
3.21359 0.0529758
3.2177 0.0530507
3.23217 0.053398
3.23576 0.0529594
3.24474 0.0538738
3.24937 0.0532839
3.25334 0.0532275
3.25347 0.0533559
3.257 0.0528516
3.26066 0.0524758
3.2647 0.052485
3.26926 0.0530079
3.27535 0.0550685
3.27901 0.0526758
3.28318 0.0528135
3.28754 0.0531423
3.29139 0.0529546
3.29529 0.0528266
3.2985 0.0519999
3.30286 0.0523258
3.30709 0.0525262
3.31376 0.0551596
3.31831 0.0536627
3.32229 0.0536093
3.33345 0.0526669
3.3416 0.0527452
3.34651 0.0536187
3.35042 0.0523212
3.3544 0.0522648
3.35818 0.0520173
3.36492 0.0547193
3.36883 0.0525834
3.37306 0.0527809
3.37698 0.0526618
3.37711 0.0527902
3.38064 0.0522859
3.38461 0.0522295
3.38872 0.0522986
3.39253 0.0520793
3.3967 0.052214
3.40286 0.0543373
3.40677 0.0522014
3.41107 0.0524646
3.41543 0.0527934
3.41921 0.0525459
3.42364 0.0529374
3.42819 0.0534573
3.43178 0.0530128
3.43512 0.0523174
3.4405 0.0536674
3.44339 0.0505044
3.44807 0.0479576
