id,value_kbps,value_mbps
100,2886.02,2.88602
99,2885.31,2.88531
98,2884.33,2.88433
97,2886.48,2.88648
96,2885.39,2.88539
95,2852.87,2.85287
94,2857.35,2.85735
93,2885.99,2.88599
92,2888.45,2.88845
91,2888.75,2.88875
90,2858.48,2.85848
89,2880.91,2.88091
88,2886.79,2.88679
87,2886.74,2.88674
86,2843.6,2.8436
85,2847.75,2.84775
84,2853.78,2.85378
83,2886.13,2.88613
82,2889.07,2.88907
81,2845.31,2.84531
80,2872.58,2.87258
79,2837.9,2.8379000000000003
78,2864.51,2.86451
77,2853.26,2.85326
76,2858.14,2.85814
75,2860.79,2.86079
74,2857.23,2.85723
73,2783.71,2.78371
72,2871.78,2.87178
71,2867.11,2.8671100000000003
70,2854.45,2.85445
69,2847.24,2.84724
68,2860.59,2.86059
67,2853.71,2.85371
66,2857.66,2.85766
65,2856.65,2.85665
64,2872.85,2.87285
63,2872.91,2.87291
62,2852.91,2.85291
61,2831.87,2.83187
60,2887.64,2.88764
59,2876.34,2.8763400000000003
58,2847.48,2.84748
57,2855.88,2.85588
56,2827.74,2.82774
55,2829.16,2.82916
54,2884.56,2.88456
53,2872.84,2.87284
52,2874.66,2.87466
51,2862.02,2.86202
50,2857.25,2.85725
49,2772.81,2.77281
48,2841.27,2.84127
47,2875.42,2.87542
46,2873.27,2.87327
45,2887.76,2.88776
44,2849.33,2.84933
43,2864.33,2.86433
42,2886.81,2.88681
41,2857.49,2.85749
40,2886.03,2.8860300000000003
39,2885.7,2.8857
38,2856.71,2.85671
37,2856.09,2.85609
36,2801.62,2.80162
35,2887.09,2.88709
34,2816.19,2.81619
33,2798.99,2.79899
32,2835.58,2.83558
31,2881.65,2.88165
30,2878.29,2.87829
29,2888.42,2.88842
28,2827.95,2.82795
27,2871.49,2.87149
26,1580.76,1.58076
25,2854.94,2.85494
24,2807.29,2.80729
23,2797.61,2.79761
22,2871.04,2.87104
21,2839.9,2.8399
20,2886.17,2.88617
19,2877.02,2.87702
18,2875.29,2.87529
17,2840.54,2.84054
16,2847.81,2.84781
15,2810.79,2.81079
14,2856.34,2.8563400000000003
13,2871.37,2.87137
12,2857.31,2.85731
11,2870.37,2.87037
10,2860.14,2.86014
9,2855.98,2.85598
8,2822.18,2.82218
7,2856.01,2.8560100000000004
6,2860.21,2.86021
5,2853.71,2.85371
4,2825.58,2.82558
3,2856.05,2.85605
2,929.341,0.929341
1,2888.44,2.88844
