% time_sec delay_sec
0.116011 0.0159807
0.117264 0.0172333
0.118796 0.0187659
0.119365 0.0193342
0.122235 0.0222043
0.123798 0.0237679
0.124927 0.0248961
0.126273 0.0262421
0.127774 0.0277435
0.128094 0.028063
0.132363 0.0323328
0.134425 0.0343941
0.134744 0.0347136
0.137148 0.0371171
0.137498 0.0374677
0.138471 0.0384404
0.141465 0.0414348
0.143869 0.0438383
0.147081 0.0470505
0.147991 0.047961
0.148311 0.0482805
0.156064 0.0560338
0.158312 0.0582818
0.163173 0.0631425
0.16651 0.0664791
0.167296 0.0672651
0.167615 0.0675846
0.171698 0.0716677
0.173013 0.0729826
0.181855 0.0818246
0.184756 0.0847257
0.18744 0.0874091
0.193047 0.0930163
0.193366 0.0933358
0.193686 0.0936553
0.194721 0.0946902
0.195445 0.0954141
0.197164 0.0971333
0.197888 0.0978571
0.198363 0.0983322
0.198682 0.0986517
0.198682 0.0986517
0.199002 0.0989712
0.199383 0.0993529
0.20132 0.10129
0.20164 0.101609
0.202333 0.102302
0.203803 0.103772
0.204153 0.104123
0.207117 0.107086
0.207436 0.107406
0.207756 0.107725
0.2082 0.108169
0.208519 0.108489
0.208519 0.108489
0.208839 0.108808
0.209718 0.109688
0.211157 0.111127
0.212752 0.112722
0.213134 0.113103
0.213796 0.113765
0.214115 0.114085
0.214435 0.114404
0.215003 0.114972
0.216007 0.0159995
0.216326 0.116296
0.217237 0.0172295
0.218769 0.0187621
0.219338 0.0193304
0.219657 0.119627
0.222216 0.0222089
0.222567 0.122536
0.223788 0.023781
0.224108 0.124077
0.224894 0.0248866
0.225244 0.125214
0.226248 0.026241
0.22775 0.0277425
0.228069 0.128039
0.228069 0.028062
0.230659 0.130629
0.232347 0.0323402
0.234378 0.0343704
0.234697 0.0346899
0.23539 0.135359
0.235896 0.135866
0.236215 0.136185
0.237126 0.0371188
0.237477 0.0374694
0.238045 0.138014
0.238458 0.0384506
0.239804 0.139773
0.240465 0.140435
0.240816 0.140785
0.241446 0.0414393
0.241766 0.141736
0.243827 0.0438201
0.247071 0.0470634
0.24795 0.0479428
0.248269 0.0482623
0.248962 0.148932
0.250028 0.149998
0.256071 0.0560637
0.258288 0.0582806
0.263148 0.0631412
0.266485 0.0664778
0.267271 0.0672639
0.267591 0.0675834
0.271674 0.0716665
0.272989 0.0729813
0.281831 0.0818233
0.284732 0.0847245
0.287415 0.0874079
0.293022 0.0930151
0.293342 0.0933346
0.293661 0.0936541
0.294696 0.094689
0.29542 0.0954129
0.297139 0.097132
0.297863 0.0978559
0.298369 0.098362
0.298689 0.0986815
0.298689 0.0986815
0.299008 0.099001
0.299359 0.0993517
0.301296 0.101289
0.301615 0.101608
0.302308 0.102301
0.303778 0.103771
0.304129 0.104122
0.307092 0.107085
0.307412 0.107405
0.307731 0.107724
0.308175 0.108168
0.308495 0.108488
0.308495 0.108488
0.308814 0.108807
0.309694 0.109686
0.311133 0.111126
0.312728 0.112721
0.313109 0.113102
0.313771 0.113764
0.314091 0.114083
0.31441 0.114403
0.314978 0.114971
0.316013 0.0159983
0.316333 0.116326
0.317243 0.0172283
0.318776 0.0187608
0.319344 0.0193292
0.319664 0.119657
0.322223 0.0222077
0.322542 0.122535
0.323795 0.0237798
0.324114 0.124107
0.3249 0.0248854
0.32522 0.125213
0.326255 0.0262398
0.327756 0.0277413
0.328076 0.128069
0.328076 0.0280608
0.330635 0.130628
0.332354 0.0323389
0.334384 0.0343692
0.334704 0.0346887
0.335396 0.135389
0.335871 0.135864
0.336191 0.136184
0.337133 0.0371176
0.337483 0.0374682
0.33802 0.138013
0.338464 0.0384493
0.339779 0.139772
0.340441 0.140434
0.340791 0.140784
0.341453 0.0414381
0.341453 0.141446
0.343825 0.0438104
0.347069 0.0470537
0.347979 0.0479642
0.348299 0.0482837
0.348929 0.148922
0.349995 0.149988
0.356069 0.056054
0.358286 0.0582709
0.363178 0.0631627
0.366483 0.0664682
0.367269 0.0672542
0.367589 0.0675737
0.371672 0.0716568
0.372987 0.0729717
0.381829 0.0818137
0.38473 0.0847148
0.387413 0.0873982
0.39302 0.0930054
0.39334 0.0933249
0.393659 0.0936444
0.394694 0.0946793
0.395418 0.0954032
0.397137 0.0971224
0.397892 0.0978773
0.398367 0.0983523
0.398687 0.0986718
0.398687 0.0986718
0.399006 0.0989914
0.399357 0.099342
0.401294 0.101279
0.401613 0.101598
0.402337 0.102322
0.403777 0.103761
0.404158 0.104143
0.407122 0.107107
