% time_sec delay_sec
1.16561 0.0655397
1.16561 0.0655397
1.2656 0.0655349
1.36559 0.0655216
1.46368 0.367622
1.46562 0.0655497
1.56561 0.0655376
1.66559 0.0655243
1.76559 0.0655217
1.76642 0.367689
1.8656 0.0655358
1.96503 0.264297
1.96698 0.0668871
1.96912 0.0710478
1.97307 0.0709702
2.06498 0.15884
2.06702 0.066937
2.06922 0.0711482
2.06935 0.0712766
2.07307 0.0709696
2.07713 0.0709936
2.08116 0.070988
2.08542 0.0712126
2.08913 0.070896
2.08926 0.0710244
2.09349 0.0712174
2.09825 0.0719471
2.10331 0.0709587
2.10735 0.0709561
2.11135 0.0709308
2.11546 0.0709989
2.11946 0.0709731
2.12344 0.0709137
2.12811 0.0715551
2.1317 0.0711101
2.13561 0.0709876
2.14224 0.073579
2.14589 0.0711834
2.14974 0.0709981
2.15406 0.0712849
2.15771 0.070905
2.16336 0.0725143
2.16714 0.0670549
2.16772 0.0716647
2.17102 0.0709308
2.17505 0.0709331
2.18021 0.0720575
2.18412 0.0719325
2.18918 0.0729596
2.19347 0.071199
2.19852 0.0722187
2.20167 0.0713263
2.20541 0.0710403
2.20942 0.071011
2.21336 0.0709201
2.21381 0.071368
2.21746 0.0709881
2.22153 0.0710256
2.2256 0.071063
2.23159 0.0730204
2.23172 0.0731488
2.23556 0.0709393
2.24021 0.0715486
2.2436 0.0709125
2.24796 0.0712343
2.25168 0.0709206
2.25591 0.0711181
2.25976 0.0709328
2.26505 0.0721914
2.26717 0.0670797
2.26935 0.0712762
2.27309 0.0709902
2.27915 0.0730162
2.27928 0.0731446
2.28409 0.0718986
2.28806 0.0718364
2.2912 0.070944
2.29133 0.0710724
2.2953 0.0710131
2.29934 0.0710165
2.30338 0.0710228
2.30738 0.0709901
2.31145 0.0710276
2.31575 0.0712907
2.32142 0.0709103
2.32554 0.071002
2.32952 0.0709427
2.33368 0.0710745
2.3376 0.0709548
2.34205 0.0713745
2.34596 0.0712525
2.34965 0.0709077
2.35401 0.0712335
2.35981 0.0730057
2.36327 0.070415
2.36712 0.0670306
2.36936 0.0733021
2.37304 0.0709331
2.37714 0.0710051
2.38115 0.0709769
2.3857 0.0714909
2.38935 0.0711092
2.39345 0.0711783
2.39755 0.0712473
2.40127 0.0709312
2.40742 0.0730466
2.41155 0.0711255
2.41168 0.0712539
2.41578 0.0713185
2.4195 0.0710048
2.42369 0.0711677
2.42811 0.0715563
2.42824 0.0716847
2.4317 0.0711113
2.43555 0.0709265
2.44033 0.0716686
2.44369 0.0710014
2.44962 0.0728951
2.45398 0.0712002
2.4577 0.0708865
2.4633 0.0724567
2.46714 0.0670555
2.46772 0.0716653
2.47112 0.0710327
2.47516 0.071039
2.47974 0.0715871
2.48019 0.072035
2.4841 0.07191
2.48845 0.0722329
2.49141 0.0711494
2.49153 0.0712778
2.49857 0.0742831
2.50127 0.070926
2.5053 0.0709284
2.5094 0.0709925
2.51375 0.0713143
2.51738 0.0709034
2.52148 0.0709719
2.52552 0.0709783
2.52949 0.070919
2.53378 0.0711752
2.54054 0.0718851
2.54369 0.0709957
2.54779 0.0710648
2.54792 0.0711931
2.55167 0.0709106
2.55603 0.0712364
2.55975 0.0709227
2.56507 0.072213
2.56706 0.0669729
2.56927 0.0712005
2.57312 0.0710157
2.57729 0.0711499
2.58113 0.0709622
2.58735 0.0731424
2.59126 0.0710006
2.59138 0.071129
2.59523 0.0709413
2.5993 0.0709753
2.60333 0.0709737
2.6074 0.0710111
2.61137 0.0709513
2.6115 0.0710797
2.61567 0.0712144
2.61945 0.0709629
2.6256 0.0730793
2.62951 0.0709371
2.63355 0.0709405
2.63752 0.0708791
2.64236 0.071681
2.64601 0.0713022
2.64967 0.0709263
2.65403 0.0712522
2.65772 0.0709074
2.6633 0.0724544
2.66711 0.0670221
2.66756 0.0715035
2.67102 0.0709331
2.67717 0.0730485
2.68121 0.0710351
2.68543 0.0712296
2.68934 0.0711046
2.68947 0.071233
2.69364 0.0713648
2.6986 0.0722951
2.70129 0.0709549
2.70546 0.0710861
2.70937 0.0709636
2.71578 0.0733362
2.71943 0.0709401
2.72404 0.0715158
2.72811 0.0715504
2.73179 0.0712026
2.73555 0.0709206
2.74061 0.0719511
2.74074 0.0720795
2.74369 0.070996
2.74782 0.0710962
2.74795 0.0712246
2.75206 0.0712966
2.7577 0.070889
2.76042 0.0695793
2.76708 0.0669919
2.76766 0.0727801
2.77102 0.0709339
2.77509 0.0709714
2.78015 0.0719985
2.78393 0.0717451
2.7872 0.0709811
2.78733 0.0711095
2.79134 0.0710813
2.79147 0.0712097
2.79537 0.0710847
2.80036 0.0720421
2.80533 0.0729783
2.80934 0.0709323
2.81337 0.0709346
2.81747 0.0709987
2.82151 0.0710051
2.82545 0.0709141
2.82956 0.0709832
2.83372 0.071115
2.83757 0.0709331
2.84369 0.0730179
2.84779 0.0710663
2.84792 0.0711946
2.85164 0.070881
2.85587 0.0710745
2.85981 0.0709864
2.86507 0.072214
2.86706 0.0669739
2.86927 0.0712014
2.87312 0.0710167
2.87732 0.071182
2.88117 0.0709943
2.88571 0.0715083
2.88584 0.0716367
2.88949 0.0712549
2.88962 0.0713833
2.89539 0.0731151
2.8993 0.0709733
2.90329 0.0709366
2.90739 0.0710012
2.91136 0.0709414
2.91534 0.070881
2.91947 0.0709807
2.92345 0.0709214
2.92802 0.0714655
2.92815 0.0715939
2.9336 0.0730096
2.93757 0.0709314
2.94244 0.0717604
2.94596 0.0712532
2.94965 0.0709045
2.95401 0.0712303
2.95773 0.0709166
2.96334 0.0724948
2.96712 0.0670354
2.9677 0.0716452
2.9711 0.0710125
2.97514 0.0710149
2.97526 0.0711433
2.98045 0.0722948
2.9859 0.0737075
2.98955 0.071309
2.99358 0.0713124
2.99826 0.0719503
3.00165 0.0713147
3.00535 0.0709725
3.00942 0.0710095
3.01333 0.0708874
3.01378 0.0713353
