% time_sec delay_sec
1.18241 0.0822532
1.18241 0.0822532
1.28241 0.0822484
1.3824 0.0822351
1.48028 0.384136
1.48241 0.0822525
1.58241 0.082251
1.6824 0.0822377
1.78241 0.0822433
1.78295 0.384122
1.88241 0.0822492
1.98234 0.281505
1.98383 0.0836491
1.98571 0.0875497
1.98979 0.0875875
2.08167 0.175441
2.08382 0.0836368
2.08567 0.0875098
2.08978 0.0875783
2.09375 0.0875145
2.09851 0.0882442
2.10191 0.0876115
2.10591 0.0875733
2.10994 0.0875786
2.11405 0.0876477
2.11998 0.087527
2.12408 0.0875961
2.12837 0.0878523
2.13209 0.0875357
2.13613 0.0875415
2.14096 0.0883384
2.14448 0.0878312
2.1483 0.0876118
2.15284 0.0881238
2.15836 0.0896041
2.16233 0.087531
2.16644 0.0876025
2.17038 0.0875115
2.17467 0.0877667
2.18047 0.089533
2.18386 0.0836826
2.18438 0.0882297
2.18867 0.0884864
2.19174 0.0875273
2.19613 0.0878813
2.20045 0.0881652
2.20593 0.089611
2.20993 0.0875649
2.21406 0.0876651
2.21817 0.0877331
2.21829 0.0878615
2.22243 0.0879617
2.22631 0.087808
2.23028 0.0877487
2.23416 0.0875881
2.23428 0.0877165
2.23822 0.0876201
2.24226 0.0876235
2.24822 0.0895482
2.25238 0.0876657
2.2563 0.0875436
2.2604 0.0876151
2.26441 0.0875899
2.26839 0.0875335
2.27245 0.0875669
2.27653 0.0876073
2.28172 0.0887663
2.28383 0.0836487
2.28646 0.088293
2.28979 0.0875918
2.29601 0.0897749
2.30036 0.088081
2.30453 0.0882158
2.30789 0.087544
2.31196 0.0875815
2.316 0.0875878
2.32014 0.0876864
2.32414 0.0876582
2.32836 0.0878443
2.33214 0.0875939
2.33811 0.0875088
2.34231 0.0876717
2.34243 0.0878001
2.34622 0.0875496
2.34635 0.087678
2.35029 0.08759
2.35427 0.0875307
2.35439 0.0876591
2.35834 0.0875711
2.36244 0.0876391
2.36641 0.0875782
2.37038 0.0875144
2.37051 0.0876428
2.37644 0.089536
2.38022 0.0872658
2.3839 0.08372
2.38595 0.0898049
2.38973 0.0875347
2.39384 0.0876038
2.39845 0.0881835
2.40185 0.0875479
2.40594 0.0876119
2.40995 0.0875827
2.41399 0.0875856
2.41411 0.087714
2.41841 0.0879726
2.42408 0.08961
2.4285 0.0879818
2.43209 0.0875368
2.43619 0.0876088
2.4409 0.0882853
2.4444 0.0877464
2.44834 0.0876555
2.45244 0.0877196
2.45635 0.0875975
2.46029 0.0875055
2.46042 0.0876339
2.46644 0.0896199
2.47048 0.0876094
2.47465 0.0877442
2.48045 0.0895105
2.48384 0.08366
2.48436 0.0882071
2.48448 0.0883355
2.48871 0.0885301
2.49179 0.0875749
2.49602 0.0877695
2.50062 0.0883412
2.50453 0.0882152
2.50793 0.0875786
2.51401 0.0896283
2.51821 0.0877768
2.5225 0.0880365
2.52622 0.0877233
2.52635 0.0878517
2.53007 0.0875356
2.53417 0.0876007
2.53818 0.0875744
2.5424 0.0877689
2.54644 0.0877753
2.55032 0.0876211
