% time_sec delay_sec
1.14933 0.0491593
1.14933 0.0491593
1.24933 0.0491629
1.34932 0.0491497
1.44724 0.351086
1.44934 0.049169
1.54933 0.0491656
1.64932 0.0491523
1.74931 0.0491451
1.74991 0.351078
1.84933 0.0491638
1.9486 0.247764
1.9507 0.0505171
1.95279 0.0546235
1.95669 0.0544837
2.04862 0.14238
2.05071 0.0505197
2.05284 0.0546731
2.05678 0.054577
2.0607 0.0544606
2.06485 0.054579
2.06877 0.0544671
2.07282 0.0544797
2.07688 0.0545036
2.0809 0.0544981
2.08702 0.0545661
2.09096 0.0544712
2.09499 0.0544651
2.09902 0.0544674
2.10306 0.0544688
2.10709 0.0544661
2.11123 0.0545692
2.1152 0.0545089
2.11921 0.0544831
2.12542 0.0566651
2.12555 0.0567935
2.12933 0.0545229
2.13356 0.0547169
2.13737 0.0545
2.14211 0.0552006
2.14669 0.0557516
2.15079 0.0506038
2.15092 0.0547657
2.15105 0.0548941
2.1547 0.0545153
2.15874 0.0545206
2.16278 0.0545264
2.16682 0.0545357
2.17281 0.0564921
2.17704 0.0546717
2.18098 0.0545779
2.18521 0.0547724
2.18905 0.0545812
2.19334 0.0548374
2.19712 0.0545791
2.20109 0.0545168
2.20516 0.0545503
2.20916 0.054521
2.21519 0.056512
2.21922 0.054501
2.22333 0.0545701
2.22746 0.0546703
2.22759 0.0547987
2.23159 0.0547705
2.23544 0.0545777
2.23944 0.054548
2.24348 0.0545509
2.24866 0.0557053
2.25078 0.0505936
2.25283 0.0546617
2.25674 0.0545391
2.26281 0.0565681
2.26685 0.0545606
2.27079 0.0544656
2.27486 0.0545031
2.27903 0.0546378
2.28319 0.0547696
2.28729 0.0548358
2.29107 0.0545824
2.29505 0.0545231
2.29921 0.0546549
2.30517 0.0545674
2.30914 0.054503
2.31318 0.0545094
2.31719 0.0544801
2.32142 0.0546771
2.32554 0.0547688
2.32939 0.0545811
2.33355 0.0547129
2.33734 0.0544649
2.34346 0.0565536
2.34663 0.0536756
2.35074 0.0505524
2.35292 0.0567657
2.35667 0.0544668
2.36071 0.0544721
2.36474 0.054474
2.36878 0.0544758
2.37291 0.0545715
2.37701 0.0546435
2.38089 0.0544869
2.38557 0.0551294
2.3914 0.0569273
2.39525 0.0547228
2.39909 0.0545351
2.40309 0.0545024
2.40716 0.0545399
2.41142 0.0547639
2.41155 0.0548923
2.41517 0.0544779
2.41921 0.0544837
2.42356 0.0548061
2.42811 0.0553231
2.43363 0.056801
2.43738 0.0545051
2.44142 0.0545085
2.44186 0.0549564
2.44661 0.0556669
2.45071 0.0505191
2.45096 0.0548094
2.45475 0.0545589
2.45869 0.054467
2.46272 0.0544688
2.46682 0.0545363
2.47086 0.0545427
2.4749 0.054549
2.48122 0.0568289
2.48545 0.0550067
2.48923 0.0547533
2.48935 0.0548817
2.49339 0.0548851
2.49352 0.0550135
2.49704 0.0544983
2.50114 0.0545644
2.50517 0.0545668
2.50914 0.0545025
2.51318 0.0545049
2.51725 0.0545418
2.52327 0.0545165
2.5275 0.0547139
2.5316 0.054779
2.53173 0.0549074
2.53535 0.054497
2.53946 0.054565
2.54343 0.0545057
2.54862 0.0556641
2.55077 0.0505835
2.55295 0.05478
2.5567 0.0544979
2.56078 0.0545383
2.56482 0.0545446
2.57081 0.0565079
2.57485 0.0544975
2.57908 0.0546945
2.58325 0.0548263
2.58722 0.054764
2.59113 0.054639
2.5951 0.0545797
2.59904 0.0544853
2.60307 0.0544837
2.60913 0.0565097
2.61323 0.0545615
2.61721 0.0545012
2.62202 0.0552749
2.6256 0.0548294
2.62938 0.0545755
2.63355 0.0547073
2.63739 0.0545175
2.64223 0.0553194
2.64665 0.0557109
2.65076 0.050571
2.65089 0.054733
2.6547 0.0545136
2.66073 0.0565115
2.66474 0.0544655
2.66878 0.0544713
2.67281 0.0544737
2.67704 0.0546701
2.68108 0.0546735
2.68531 0.054868
2.68922 0.054743
2.69351 0.0550032
2.69963 0.0570891
2.7004 0.0578565
2.70315 0.0545651
2.70719 0.054568
2.71142 0.0547649
2.7152 0.05451
2.7193 0.0545785
2.72391 0.0551543
2.72798 0.0551888
2.72811 0.0553172
2.73167 0.054841
2.73542 0.054559
2.74215 0.0552389
2.74426 0.0533223
2.75071 0.0505216
2.75097 0.0559903
2.75475 0.0545615
2.75869 0.0544695
2.76273 0.0544714
2.76676 0.0544727
2.77089 0.0545723
2.77484 0.0544814
2.77939 0.0549979
2.78317 0.0547445
2.78913 0.0566708
2.79358 0.0550737
2.79704 0.0544964
2.80114 0.0545625
2.80508 0.0544715
2.80921 0.0545707
2.81325 0.0545731
2.81722 0.0545087
2.82138 0.0546435
