% time_sec delay_sec
1.11658 0.0164401
1.11658 0.0164401
1.21657 0.016424
1.31656 0.0164192
1.41441 0.318277
1.41656 0.0164218
1.51656 0.0164193
1.61688 0.0167329
1.71656 0.0164166
1.71707 0.318265
1.81656 0.0164174
1.91576 0.214949
1.91824 0.0180804
1.91979 0.0216451
1.92389 0.0217071
2.01576 0.109542
2.01795 0.0177863
2.01981 0.0216621
2.02395 0.0217733
2.02797 0.0217551
2.0281 0.0218835
2.03193 0.0216866
2.03599 0.021711
2.04042 0.0221028
2.04429 0.0219445
2.0481 0.0217234
2.05409 0.0216579
2.05819 0.0217247
2.06224 0.0217373
2.06626 0.0217267
2.07028 0.0217126
2.07436 0.0217598
2.07848 0.0218465
2.08251 0.0218409
2.08645 0.021746
2.0931 0.024372
2.09649 0.0217101
2.1005 0.0216819
2.10456 0.0217138
2.10863 0.0217462
2.11392 0.0230019
2.11802 0.0178575
2.11815 0.0220195
2.12209 0.0219285
2.12626 0.0220593
2.13003 0.0218054
2.13016 0.0219338
2.13394 0.0216799
2.1407 0.0244026
2.14083 0.024531
2.14435 0.022007
2.14804 0.0216593
2.14817 0.0217877
2.15227 0.0218518
2.15239 0.0219802
2.15618 0.0217297
2.16022 0.021735
2.16426 0.0217409
2.16823 0.0216845
2.1723 0.021718
2.17634 0.0217233
2.18265 0.0240002
2.18694 0.0222402
2.18707 0.0223686
2.19097 0.0222396
2.1911 0.022368
2.19501 0.022243
2.19929 0.0224952
2.20256 0.0217313
2.20676 0.0218931
2.21076 0.0218639
2.21589 0.0229561
2.21804 0.0178755
2.21987 0.0217208
2.22384 0.0216615
2.23003 0.023813
2.23015 0.0239414
2.23403 0.021764
2.23796 0.0216675
2.23809 0.0217959
2.24213 0.0217993
2.2461 0.0217395
2.25008 0.0216786
2.25431 0.0218761
2.25816 0.0216908
2.26216 0.0216655
2.26621 0.0216748
2.27232 0.0217428
2.27627 0.0216548
2.2764 0.0217832
2.28056 0.021915
2.28473 0.0220468
2.28902 0.0223041
2.29312 0.0223731
2.29652 0.0217375
2.30088 0.0220604
2.30492 0.0220668
2.31087 0.023991
2.31389 0.0209535
2.31805 0.0178886
2.31988 0.0237507
2.32388 0.0217057
2.32823 0.0220202
2.33202 0.0217697
2.33593 0.0216472
2.3407 0.0223893
2.34083 0.0225177
2.34429 0.0219477
2.34811 0.0217284
2.35221 0.0218004
2.35821 0.0237637
2.36218 0.0216866
2.36629 0.0217541
2.37026 0.0216903
2.37464 0.0220428
2.37849 0.021858
2.38269 0.0220209
2.38698 0.0222781
2.39101 0.0222815
2.39486 0.0220938
2.40089 0.0240858
2.40489 0.0220363
2.40873 0.0218476
2.41386 0.0229398
2.41802 0.0178582
2.41815 0.0220201
2.42266 0.022502
2.42626 0.0220604
2.43016 0.0219349
2.43401 0.0217472
2.43802 0.0217249
2.44212 0.021791
2.44808 0.0237198
2.44821 0.0238481
2.45231 0.0218954
2.45622 0.0217734
2.46016 0.0216814
2.4642 0.0216833
2.46823 0.0216851
2.47227 0.0216915
2.47632 0.0217007
2.48083 0.0221831
2.48474 0.0220582
2.48487 0.0221866
2.49102 0.0222872
2.49506 0.0222906
2.49934 0.0225429
2.50261 0.0217789
2.5069 0.022038
2.51087 0.0219737
2.51587 0.0229375
2.51795 0.0177908
2.51981 0.0216672
2.52392 0.0217363
2.52808 0.0218681
2.52821 0.0219964
2.53199 0.021742
2.53805 0.023767
2.54227 0.0219448
2.54619 0.0218227
2.55007 0.0216686
2.55019 0.0217969
2.5543 0.021866
2.55815 0.0216807
2.56225 0.0217527
2.56623 0.0216963
2.5703 0.0217338
