% time_sec delay_sec
1.10975 0.00911904
1.10975 0.00911904
1.20995 0.00931226
1.30994 0.00930746
1.40692 0.310969
1.40993 0.00929816
1.50993 0.00929506
1.60994 0.00930166
1.70993 0.00929685
1.71006 0.311432
1.80996 0.00932036
1.90823 0.207599
1.91246 0.0104594
1.91259 0.0146213
1.9163 0.0142949
2.00823 0.102192
2.01246 0.0104577
2.01259 0.0146196
2.01632 0.0143203
2.02035 0.0143123
2.02437 0.0142991
2.02867 0.0145693
2.03244 0.0143058
2.03654 0.0143652
2.04054 0.0143408
2.04658 0.014321
2.05084 0.0145473
2.05463 0.0143041
2.05876 0.01441
2.06268 0.0142942
2.06715 0.0147315
2.07076 0.0143007
2.07487 0.0143829
2.07905 0.0145323
2.08529 0.0167335
2.08901 0.0144002
2.09336 0.0147215
2.09349 0.0148499
2.09701 0.0143332
2.10101 0.014305
2.10629 0.0155506
2.11065 0.0146971
2.11257 0.0105697
2.1143 0.0143183
2.11853 0.0145142
2.11866 0.0146426
2.1228 0.0147427
2.12696 0.0148735
2.13247 0.0163514
2.13651 0.0143405
2.14108 0.0148806
2.14474 0.0145018
2.14868 0.0144108
2.15297 0.014666
2.15669 0.0143528
2.16073 0.0143581
2.16477 0.014364
2.16878 0.0143387
2.1748 0.0163257
2.17493 0.016454
2.18008 0.0155616
2.18399 0.0154367
2.18745 0.0148633
2.19136 0.0147343
2.19527 0.0146093
2.19955 0.0148616
2.20308 0.0143544
2.20865 0.01589
2.21256 0.010556
2.21269 0.014718
2.2164 0.0144008
2.22269 0.0166491
2.22688 0.0147981
2.23054 0.0144193
2.23067 0.0145477
2.23454 0.0143871
2.2388 0.0146102
2.24251 0.0142941
2.24264 0.0144224
2.24662 0.0143626
2.25104 0.0147496
2.25482 0.0144992
2.2588 0.0144423
2.26479 0.0143888
2.26877 0.0143324
2.27284 0.0143659
2.2771 0.0145974
2.28095 0.0144097
2.28108 0.0145381
2.28575 0.0151805
2.28588 0.0153089
2.28953 0.0149272
2.29364 0.0149962
2.29703 0.0143606
2.30312 0.0164153
2.30661 0.0138523
2.31254 0.010538
2.31267 0.0167167
2.31639 0.0143868
2.32039 0.014357
2.3244 0.0143288
2.32453 0.0144572
2.32875 0.0146433
2.33253 0.0143928
2.33657 0.0143987
2.34122 0.0150124
2.34481 0.0145708
2.35087 0.0165969
2.35465 0.0143297
2.35872 0.01437
2.3627 0.0143097
2.3668 0.0143772
2.37077 0.0143134
2.37515 0.0146659
2.37932 0.0148006
2.38403 0.0154741
2.38416 0.0156025
2.38845 0.0158598
2.39332 0.0166992
2.39698 0.0143036
2.39711 0.014432
2.40114 0.0144354
2.40127 0.0145638
2.40633 0.0155893
2.41065 0.0147012
2.41251 0.0105076
2.41437 0.0143846
2.41879 0.0147716
2.42318 0.0151251
2.42741 0.0153225
2.43055 0.0144296
2.43452 0.0143703
2.44116 0.0169726
2.44465 0.014417
2.4486 0.0143261
2.45301 0.0147097
2.45314 0.014838
2.45673 0.0143965
2.46068 0.0143045
2.46471 0.0143064
2.46919 0.0147561
2.47292 0.0144429
2.47718 0.0146745
2.48397 0.0154141
2.48724 0.0146501
2.48737 0.0147785
2.49141 0.0147819
2.49544 0.0147853
2.50037 0.0156766
2.50313 0.014402
2.50863 0.0158754
2.51254 0.0105375
2.51267 0.0146994
2.51638 0.0143823
2.52077 0.0147382
2.52443 0.0143594
2.53045 0.0163513
2.53455 0.0143997
2.53907 0.014884
2.5392 0.0150124
2.54279 0.0145679
2.5467 0.0144458
2.5509 0.0146112
2.55468 0.0143607
2.55879 0.0144322
2.56276 0.0143758
2.56914 0.0167214
2.57286 0.0143914
2.57716 0.014654
2.58101 0.0144663
2.58113 0.0145947
2.58581 0.0152371
2.58959 0.0149838
2.59356 0.0149245
2.59702 0.0143511
2.59747 0.014799
2.60109 0.0143856
2.60122 0.014514
2.60663 0.0158901
2.61067 0.0147175
2.61246 0.0104618
2.61432 0.0143387
2.62035 0.0163326
2.62439 0.0143193
2.62868 0.0145755
2.63252 0.0143872
2.63659 0.0144202
2.6412 0.0149994
2.64473 0.0144922
2.64864 0.0143701
2.65307 0.0147616
2.65874 0.0164054
2.66272 0.0143323
2.66679 0.0143687
2.67076 0.0143088
2.67509 0.0145991
2.68031 0.0157857
2.68409 0.0155323
2.68844 0.0158552
2.69139 0.0147717
2.69543 0.0147751
2.70117 0.014459
