run,dir,n,min,p10,median,mean,p90,max,jain
E2,FWD,2,0.0,28.1662,140.831,140.831,253.49579999999997,281.662,0.5
E2,RTN,2,0.0,18.5396,92.698,92.698,166.8564,185.396,0.5
E5,FWD,2,0.0,28.213,141.065,141.065,253.917,282.13,0.5
E5,RTN,2,0.0,20.715100000000003,103.5755,103.5755,186.4359,207.151,0.5
