id,value_kbps,value_mbps
2,929.341,0.929341
26,1580.76,1.58076
49,2772.81,2.77281
73,2783.71,2.78371
23,2797.61,2.79761
33,2798.99,2.79899
36,2801.62,2.80162
24,2807.29,2.80729
15,2810.79,2.81079
34,2816.19,2.81619
