experiment,global_fwd_mbps,global_rtn_mbps,run_dir,E,packetSize_B,interval_ms,isl_Mbps
E2_med_100M_10s_detailed,281.662,185.396,/home/ubuntu/Desktop/ns-3.43/contrib/satellite/data/sims/spacex-study/E2_med_100M_10s_detailed,E2,1200,20,100
E4_med_500M_10s,281.887,207.151,/home/ubuntu/Desktop/ns-3.43/contrib/satellite/data/sims/spacex-study/E4_med_500M_10s,E4,1200,20,500
E5_med_1G_10s_detailed,282.13,207.151,/home/ubuntu/Desktop/ns-3.43/contrib/satellite/data/sims/spacex-study/E5_med_1G_10s_detailed,E5,1200,20,1000
